Nome do Repositório,Idade (dias),PRs Aceitos Externos,Releases,Dias sem atualizar,Linguagem,Total Issues,Issues Fechadas,Razão Issues Fechadas (%)
deepseek-ai/DeepSeek-R1,406,10,1,0,Nenhuma,690,664,96.23
florinpop17/app-ideas,2562,35,0,0,Nenhuma,195,51,26.15
PanJiaChen/vue-element-admin,3242,60,49,0,Vue,3613,2356,65.21
microsoft/markitdown,474,67,18,0,Python,385,83,21.56
storybookjs/storybook,3637,83,1000,0,TypeScript,14152,12037,85.06
bitcoin/bitcoin,5552,85,63,0,C++,9005,8641,95.96
gin-gonic/gin,4277,87,29,0,Go,2382,1786,74.98
oven-sh/bun,1784,84,210,0,Zig,15769,10941,69.38
firecrawl/firecrawl,686,31,32,0,TypeScript,824,778,94.42
ChatGPTNextWeb/NextChat,1088,99,77,0,TypeScript,3581,2899,80.96
django/django,5057,83,0,0,Python,0,0,0
gohugoio/hugo,4624,86,365,0,Go,8033,7791,96.99
rasbt/LLMs-from-scratch,953,42,0,0,Jupyter Notebook,217,216,99.54
opencv/opencv,4975,100,67,0,C++,11427,8859,77.53
mermaid-js/mermaid,4139,95,179,0,TypeScript,3575,2210,61.82
sveltejs/svelte,3389,15,605,0,JavaScript,8920,8006,89.75
home-assistant/core,4550,64,1000,0,Python,68185,65283,95.74
ruanyf/weekly,2697,100,0,0,Nenhuma,8451,1281,15.16
3b1b/manim,3998,53,13,0,Python,1223,765,62.55
microsoft/ML-For-Beginners,1826,77,0,0,Jupyter Notebook,158,158,100.0
laravel/laravel,5382,100,211,0,Blade,0,0,0
louislam/uptime-kuma,1704,80,124,0,JavaScript,4633,3977,85.84
microsoft/playwright,2299,43,158,0,TypeScript,17086,16497,96.55
MunGell/awesome-for-beginners,3782,99,0,0,Nenhuma,203,188,92.61
macrozheng/mall,2890,0,3,0,Java,499,489,98.0
realworld-apps/realworld,3657,100,0,0,TypeScript,545,511,93.76
animate-css/animate.css,5256,94,22,0,CSS,883,843,95.47
anthropics/skills,161,3,0,0,Python,145,21,14.48
punkpeye/awesome-mcp-servers,458,91,0,0,Nenhuma,199,148,74.37
bregman-arie/devops-exercises,2342,100,0,0,Python,103,69,66.99
tonsky/FiraCode,4129,100,29,0,Clojure,1380,959,69.49
DopplerHQ/awesome-interview-questions,3748,100,0,0,Nenhuma,61,34,55.74
syncthing/syncthing,4480,52,461,0,Go,5854,5484,93.68
astral-sh/uv,882,0,258,0,Rust,8595,6241,72.61
spring-projects/spring-boot,4882,35,339,0,Java,41349,40872,98.85
modelcontextprotocol/servers,469,82,24,0,TypeScript,831,560,67.39
ByteByteGoHq/system-design-101,896,16,0,0,Nenhuma,57,18,31.58
hacksider/Deep-Live-Cam,890,73,10,0,Python,1111,1029,92.62
browser-use/browser-use,487,44,118,0,Python,1397,1268,90.77
fighting41love/funNLP,2750,14,0,0,Python,84,47,55.95
doocs/advanced-java,2704,62,1,0,Java,148,147,99.32
anuraghazra/github-readme-stats,2062,53,0,0,JavaScript,1386,1231,88.82
vitejs/vite,2142,70,658,0,TypeScript,8348,7890,94.51
junegunn/fzf,4513,83,76,0,Go,3101,2847,91.81
hoppscotch/hoppscotch,2385,94,98,0,TypeScript,2328,1767,75.9
netdata/netdata,4641,63,132,0,C,8203,8032,97.92
tensorflow/models,3679,92,51,1,Python,7324,6240,85.2
nomic-ai/gpt4all,1071,83,38,0,C++,2212,1493,67.5
MisterBooo/LeetCodeAnimation,2644,63,0,0,Java,61,43,70.49
coder/code-server,2560,76,223,0,TypeScript,3793,3626,95.6
FortAwesome/Font-Awesome,5127,87,63,0,JavaScript,19900,19609,98.54
zed-industries/zed,1837,34,1000,0,Rust,18570,15923,85.75
elastic/elasticsearch,5866,91,235,0,Java,43065,38568,89.56
mlabonne/llm-course,989,2,0,0,Nenhuma,95,32,33.68
d2l-ai/d2l-zh,3114,66,16,0,Python,0,0,0
localsend/localsend,1173,100,24,0,Dart,1594,739,46.36
sdmg15/Best-websites-a-programmer-should-visit,3284,99,0,0,Nenhuma,185,105,56.76
swisskyrepo/PayloadsAllTheThings,3423,100,5,0,Python,0,0,0
typicode/json-server,4478,86,46,0,JavaScript,1178,566,48.05
Developer-Y/cs-video-courses,3419,99,0,0,Nenhuma,0,0,0
