repository,stars,age_years,primary_language,llm_coauthor_commits,commits_scanned,python_file_count,total_sloc,eligible,rejection_reason,star_bucket,scanned_at,has_ai_config
ethereon/caffe-tensorflow,2789,10.5,Python,0,89,13,6234,False,sem co-autoria LLM e sem arquivos de config nos últimos 89 commits,1000-2999,2026-05-24T11:33:20Z,False
PythonOT/POT,2799,9.6,Python,0,1606,71,40339,False,sem co-autoria LLM e sem arquivos de config nos últimos 1606 commits,1000-2999,2026-05-24T11:32:48Z,False
mobolic/facebook-sdk,2787,15.0,Python,0,544,3,432,False,sem co-autoria LLM e sem arquivos de config nos últimos 544 commits,1000-2999,2026-05-24T11:33:22Z,False
EugeneLiu/translationCSAPP,2787,8.4,Python,0,444,1,52,False,sem co-autoria LLM e sem arquivos de config nos últimos 444 commits,1000-2999,2026-05-24T11:33:23Z,False
YCG09/chinese_ocr,2785,8.2,Python,0,13,52,3262,False,sem co-autoria LLM e sem arquivos de config nos últimos 13 commits,1000-2999,2026-05-24T11:33:34Z,False
tensorflow/graphics,2783,7.4,Python,0,772,230,28881,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T11:33:43Z,True
lanbing510/DouBanSpider,2779,11.0,Python,0,44,1,98,False,sem co-autoria LLM e sem arquivos de config nos últimos 44 commits,1000-2999,2026-05-24T11:34:06Z,False
PowerDNS-Admin/PowerDNS-Admin,2783,10.5,Python,0,1722,54,9764,False,sem co-autoria LLM e sem arquivos de config nos últimos 1722 commits,1000-2999,2026-05-24T11:33:37Z,False
eliemichel/MapsModelsImporter,2778,7.2,Python,0,122,12,1149,False,sem co-autoria LLM e sem arquivos de config nos últimos 122 commits,1000-2999,2026-05-24T11:34:20Z,False
yfeng95/face3d,2778,7.9,Python,0,43,18,1895,False,sem co-autoria LLM e sem arquivos de config nos últimos 43 commits,1000-2999,2026-05-24T11:34:25Z,False
snakemake/snakemake,2785,6.6,Python,1,26,129,30224,True,,1000-2999,2026-05-24T11:33:28Z,False
sony/nnabla,2778,8.9,Python,0,2500,451,50275,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T11:34:10Z,False
mozilla/bleach,2771,16.3,Python,0,958,47,13577,False,sem co-autoria LLM e sem arquivos de config nos últimos 958 commits,1000-2999,2026-05-24T11:35:22Z,False
DormyMo/SpiderKeeper,2771,10.4,Python,0,104,17,1321,False,sem co-autoria LLM e sem arquivos de config nos últimos 104 commits,1000-2999,2026-05-24T11:35:48Z,False
quay/quay,2775,6.5,Python,1,240,509,88577,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T11:34:28Z,True
openstack/swift,2772,15.8,Python,0,2500,179,73999,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T11:34:37Z,False
babybuddy/babybuddy,2770,8.6,Python,0,1914,88,8809,False,sem co-autoria LLM e sem arquivos de config nos últimos 1914 commits,1000-2999,2026-05-24T11:35:53Z,False
bpython/bpython,2766,11.9,Python,0,2500,39,8423,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T11:35:57Z,False
xuanhun/PythonHackingBook1,2763,7.4,Python,0,57,50,1792,False,sem co-autoria LLM e sem arquivos de config nos últimos 57 commits,1000-2999,2026-05-24T11:36:54Z,False
lisa-lab/pylearn2,2769,15.5,Python,0,2500,355,72357,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T11:35:56Z,False
Kozea/pygal,2762,14.7,Python,0,1074,52,7601,False,sem co-autoria LLM e sem arquivos de config nos últimos 1074 commits,1000-2999,2026-05-24T11:37:01Z,False
Netflix/bless,2761,10.0,Python,0,135,36,1543,False,sem co-autoria LLM e sem arquivos de config nos últimos 135 commits,1000-2999,2026-05-24T11:37:28Z,False
jazzband/django-model-utils,2761,16.5,Python,1,6,8,1452,True,,1000-2999,2026-05-24T11:37:07Z,False
jeanphix/Ghost.py,2759,14.5,Python,0,598,7,1257,False,sem co-autoria LLM e sem arquivos de config nos últimos 598 commits,1000-2999,2026-05-24T11:37:37Z,False
cobrateam/splinter,2763,15.7,Python,0,2335,29,3380,False,sem co-autoria LLM e sem arquivos de config nos últimos 2335 commits,1000-2999,2026-05-24T11:36:59Z,False
phanein/deepwalk,2755,11.8,Python,0,46,7,603,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T11:37:55Z,True
aydinnyunus/Keylogger,2752,6.2,Python,0,66,1,0,False,sem co-autoria LLM e sem arquivos de config nos últimos 66 commits,1000-2999,2026-05-24T11:37:58Z,False
thewhiteh4t/FinalRecon,2752,7.2,Python,0,205,36,2758,False,sem co-autoria LLM e sem arquivos de config nos últimos 205 commits,1000-2999,2026-05-24T11:38:01Z,False
taki0112/Tensorflow-Cookbook,2750,7.3,Python,0,111,2,978,False,sem co-autoria LLM e sem arquivos de config nos últimos 111 commits,1000-2999,2026-05-24T11:38:08Z,False
rootm0s/WinPwnage,2743,8.1,Python,0,714,45,2816,False,sem co-autoria LLM e sem arquivos de config nos últimos 714 commits,1000-2999,2026-05-24T11:38:12Z,False
cobbler/cobbler,2760,14.5,Python,0,2500,147,34643,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T11:37:33Z,False
nutonomy/nuscenes-devkit,2742,7.7,Python,0,238,98,15299,False,sem co-autoria LLM e sem arquivos de config nos últimos 238 commits,1000-2999,2026-05-24T11:38:45Z,False
