Nome,Popularidade_Stars,Maturidade_Idade,Atividade_Releases,Tamanho_LOC,Tamanho_Comentarios,CBO,DIT,LCOM
android/testing-samples,9298,11.47,0,1849,0,5.5,1.35,3.15
apache/seatunnel,9216,8.65,53,299922,0,6.85,1.36,31.96
cats-oss/android-gpuimage,9158,13.49,0,6341,2600,2.96,2.16,11.3
flowable/flowable-engine,9154,9.46,29,534103,0,6.57,1.62,151.57
didi/VirtualAPK,9065,8.75,4,7981,1345,4.9,1.61,17.58
alibaba/spring-ai-alibaba,9032,1.56,18,116056,0,6.23,1.21,13.66
HMCL-dev/HMCL,9030,10.77,319,96942,21903,6.83,1.71,35.14
KunMinX/Jetpack-MVVM-Best-Practice,8949,6.41,0,3691,1781,4.84,1.62,12.0
navasmdc/MaterialDesignLibrary,8945,11.5,3,2927,247,4.54,1.82,6.76
LSPosed/LSPatch,8928,5.08,9,7008,6037,4.34,1.35,23.88
Freelander/Android_Data,8918,10.99,0,116,30,2.0,1.0,3.0
java-native-access/jna,8909,14.92,0,107353,102938,4.86,2.53,44.59
frohoff/ysoserial,8830,11.17,1,3851,980,5.46,1.34,8.89
karatelabs/karate,8823,9.14,57,64712,22883,5.61,1.2,149.45
PojavLauncherTeam/PojavLauncher,8812,6.05,126,27149,5770,6.23,1.41,124.73
nathanmarz/storm,8789,14.54,0,60552,11847,4.43,1.29,33.07
apache/shenyu,8784,7.72,14,148795,0,5.99,1.23,18.15
laobie/StatusBarUtil,8770,10.12,0,1036,326,4.15,1.55,22.55
cabaletta/baritone,8763,7.66,85,22328,11812,6.7,1.39,22.17
Blankj/awesome-java-leetcode,8732,8.95,0,1772,939,1.68,1.0,1.17
apache/iceberg,8682,7.36,32,336606,112564,8.63,1.69,37.05
chrisbanes/Android-PullToRefresh,8664,14.34,0,3567,1535,6.02,2.11,55.84
ybq/Android-SpinKit,8652,10.03,0,1812,311,4.82,3.17,21.52
amitshekhariitbhu/Android-Debug-Database,8648,9.37,14,2393,755,4.15,1.28,8.8
